Nairobi Stock Exchange All Share Index | Price History                                          02-Jun-2023 20:00,,,,,,,
,,,,,,,
,,,,,,,
.NASI,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Apr-2011 - 31-Jul-2020,,,,,,,
,,,,,,,
,,,,,,,
.NASI Statistics     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,196.57,05-Apr-2018,Up,1184,Up,+4.11%,12-Oct-2016
Low,65.14,07-Dec-2011,Down,1099,Down,-5.51%,13-Mar-2020
Avg,135.82,,Unch,21,Period,+48.88%,01-Apr-2011 - 29-Jul-2020
,,,,,,,
,,,,,,,
.NASI History     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
26-Sep-2014,162.35,+0.43,+0.27%,162.35,162.35,162.35,
25-Sep-2014,161.92,-1.77,-1.08%,161.92,161.92,161.92,
24-Sep-2014,163.69,-1.76,-1.06%,163.69,163.69,163.69,
23-Sep-2014,165.45,+0.09,+0.05%,165.45,165.45,165.45,
22-Sep-2014,165.36,+2.56,+1.57%,165.36,165.36,165.36,
19-Sep-2014,162.80,+1.70,+1.06%,162.80,162.80,162.80,
18-Sep-2014,161.10,+1.17,+0.73%,161.10,161.10,161.10,
17-Sep-2014,159.93,+0.50,+0.31%,159.93,159.93,159.93,
12-Sep-2014,159.43,+0.09,+0.06%,159.43,159.43,159.43,
11-Sep-2014,159.34,-0.60,-0.38%,159.34,159.34,159.34,
10-Sep-2014,159.94,+0.12,+0.08%,159.94,159.94,159.94,
09-Sep-2014,159.82,+0.04,+0.03%,159.82,159.82,159.82,
08-Sep-2014,159.78,+0.34,+0.21%,159.78,159.78,159.78,
05-Sep-2014,159.44,-0.07,-0.04%,159.44,159.44,159.44,
04-Sep-2014,159.51,-0.73,-0.46%,159.51,159.51,159.51,
03-Sep-2014,160.24,+0.42,+0.26%,160.24,160.24,160.24,
02-Sep-2014,159.82,+0.70,+0.44%,159.82,159.82,159.82,
01-Sep-2014,159.12,+1.18,+0.75%,159.12,159.12,159.12,
29-Aug-2014,157.94,+0.85,+0.54%,157.94,157.94,157.94,
28-Aug-2014,157.09,-0.23,-0.15%,157.09,157.09,157.09,
27-Aug-2014,157.32,+0.15,+0.10%,157.32,157.32,157.32,
26-Aug-2014,157.17,+0.40,+0.26%,157.17,157.17,157.17,
25-Aug-2014,156.77,+0.34,+0.22%,156.77,156.77,156.77,
22-Aug-2014,156.43,-0.15,-0.10%,156.43,156.43,156.43,
21-Aug-2014,156.58,0.00,0.00%,156.58,156.58,156.58,
20-Aug-2014,156.58,+0.44,+0.28%,156.58,156.58,156.58,
19-Aug-2014,156.14,+0.43,+0.28%,156.14,156.14,156.14,
18-Aug-2014,155.71,+0.32,+0.21%,155.71,155.71,155.71,
15-Aug-2014,155.39,+0.03,+0.02%,155.39,155.39,155.39,
14-Aug-2014,155.36,+0.86,+0.56%,155.36,155.36,155.36,
13-Aug-2014,154.50,+0.10,+0.06%,154.50,154.50,154.50,
12-Aug-2014,154.40,-0.01,-0.01%,154.40,154.40,154.40,
11-Aug-2014,154.41,-0.12,-0.08%,154.41,154.41,154.41,
08-Aug-2014,154.53,-1.30,-0.83%,154.53,154.53,154.53,
07-Aug-2014,155.83,-0.85,-0.54%,155.83,155.83,155.83,
06-Aug-2014,156.68,+1.29,+0.83%,156.68,156.68,156.68,
05-Aug-2014,155.39,+1.77,+1.15%,155.39,155.39,155.39,
04-Aug-2014,153.62,+0.44,+0.29%,153.62,153.62,153.62,
