Nairobi Stock Exchange All Share Index | Price History                                          02-Jun-2023 20:00,,,,,,,
,,,,,,,
,,,,,,,
.NASI,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Apr-2011 - 31-Jul-2020,,,,,,,
,,,,,,,
,,,,,,,
.NASI Statistics     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,196.57,05-Apr-2018,Up,1184,Up,+4.11%,12-Oct-2016
Low,65.14,07-Dec-2011,Down,1099,Down,-5.51%,13-Mar-2020
Avg,135.82,,Unch,21,Period,+48.88%,01-Apr-2011 - 29-Jul-2020
,,,,,,,
,,,,,,,
.NASI History     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
24-Feb-2020,158.39,+0.01,+0.01%,158.39,158.39,158.39,
21-Feb-2020,158.38,-0.49,-0.31%,158.38,158.38,158.38,
20-Feb-2020,158.87,-0.48,-0.30%,158.87,158.87,158.87,
19-Feb-2020,159.35,-1.52,-0.94%,159.35,159.35,159.35,
18-Feb-2020,160.87,-1.24,-0.76%,160.87,160.87,160.87,
17-Feb-2020,162.11,-0.26,-0.16%,162.11,162.11,162.11,
14-Feb-2020,162.37,-1.79,-1.09%,162.37,162.37,162.37,
13-Feb-2020,164.16,-2.80,-1.68%,164.16,164.16,164.16,
12-Feb-2020,166.96,-0.75,-0.45%,166.96,166.96,166.96,
10-Feb-2020,167.71,-0.94,-0.56%,167.71,167.71,167.71,
07-Feb-2020,168.65,-0.70,-0.41%,168.65,168.65,168.65,
06-Feb-2020,169.35,+3.68,+2.22%,169.35,169.35,169.35,
05-Feb-2020,165.67,+2.22,+1.36%,165.67,165.67,165.67,
04-Feb-2020,163.45,+0.37,+0.23%,163.45,163.45,163.45,
03-Feb-2020,163.08,+0.99,+0.61%,163.08,163.08,163.08,
31-Jan-2020,162.09,-0.24,-0.15%,162.09,162.09,162.09,
30-Jan-2020,162.33,+1.12,+0.69%,162.33,162.33,162.33,
29-Jan-2020,161.21,-0.11,-0.07%,161.21,161.21,161.21,
28-Jan-2020,161.32,-1.94,-1.19%,161.32,161.32,161.32,
27-Jan-2020,163.26,-1.72,-1.04%,163.26,163.26,163.26,
24-Jan-2020,164.98,-0.55,-0.33%,164.98,164.98,164.98,
23-Jan-2020,165.53,+0.21,+0.13%,165.53,165.53,165.53,
22-Jan-2020,165.32,-0.64,-0.39%,165.32,165.32,165.32,
21-Jan-2020,165.96,-0.38,-0.23%,165.96,165.96,165.96,
20-Jan-2020,166.34,+0.11,+0.07%,166.34,166.34,166.34,
17-Jan-2020,166.23,-0.98,-0.59%,166.23,166.23,166.23,
16-Jan-2020,167.21,-0.17,-0.10%,167.21,167.21,167.21,
15-Jan-2020,167.38,-2.93,-1.72%,167.38,167.38,167.38,
14-Jan-2020,170.31,-0.77,-0.45%,170.31,170.31,170.31,
13-Jan-2020,171.08,-0.28,-0.16%,171.08,171.08,171.08,
10-Jan-2020,171.36,+0.41,+0.24%,171.36,171.36,171.36,
09-Jan-2020,170.95,+3.62,+2.16%,170.95,170.95,170.95,
08-Jan-2020,167.33,+0.68,+0.41%,167.33,167.33,167.33,
07-Jan-2020,166.65,-0.35,-0.21%,166.65,166.65,166.65,
06-Jan-2020,167.00,-0.37,-0.22%,167.00,167.00,167.00,
03-Jan-2020,167.37,+1.39,+0.84%,167.37,167.37,167.37,
02-Jan-2020,165.98,-0.43,-0.26%,165.98,165.98,165.98,
31-Dec-2019,166.41,+1.04,+0.63%,166.41,166.41,166.41,
30-Dec-2019,165.37,-0.04,-0.02%,165.37,165.37,165.37,
27-Dec-2019,165.41,+0.29,+0.18%,165.41,165.41,165.41,
23-Dec-2019,165.12,+4.22,+2.62%,165.12,165.12,165.12,
20-Dec-2019,160.90,-1.72,-1.06%,160.90,160.90,160.90,
19-Dec-2019,162.62,+2.09,+1.30%,162.62,162.62,162.62,
18-Dec-2019,160.53,+0.62,+0.39%,160.53,160.53,160.53,
17-Dec-2019,159.91,+0.34,+0.21%,159.91,159.91,159.91,
16-Dec-2019,159.57,-0.95,-0.59%,159.57,159.57,159.57,
13-Dec-2019,160.52,-0.08,-0.05%,160.52,160.52,160.52,
11-Dec-2019,160.60,+0.45,+0.28%,160.60,160.60,160.60,
10-Dec-2019,160.15,+0.16,+0.10%,160.15,160.15,160.15,
09-Dec-2019,159.99,-0.30,-0.19%,159.99,159.99,159.99,
06-Dec-2019,160.29,+1.38,+0.87%,160.29,160.29,160.29,
05-Dec-2019,158.91,+0.21,+0.13%,158.91,158.91,158.91,
04-Dec-2019,158.70,-0.20,-0.13%,158.70,158.70,158.70,
03-Dec-2019,158.90,+0.44,+0.28%,158.90,158.90,158.90,
02-Dec-2019,158.46,+0.53,+0.34%,158.46,158.46,158.46,
29-Nov-2019,157.93,+1.36,+0.87%,157.93,157.93,157.93,
28-Nov-2019,156.57,+0.68,+0.44%,156.57,156.57,156.57,
27-Nov-2019,155.89,+0.42,+0.27%,155.89,155.89,155.89,
26-Nov-2019,155.47,-0.38,-0.24%,155.47,155.47,155.47,
25-Nov-2019,155.85,+1.01,+0.65%,155.85,155.85,155.85,
22-Nov-2019,154.84,-0.16,-0.10%,154.84,154.84,154.84,
21-Nov-2019,155.00,-0.30,-0.19%,155.00,155.00,155.00,
20-Nov-2019,155.30,-0.07,-0.05%,155.30,155.30,155.30,
19-Nov-2019,155.37,-0.11,-0.07%,155.37,155.37,155.37,
18-Nov-2019,155.48,-0.50,-0.32%,155.48,155.48,155.48,
15-Nov-2019,155.98,-2.86,-1.80%,155.98,155.98,155.98,
14-Nov-2019,158.84,+1.57,+1.00%,158.84,158.84,158.84,
13-Nov-2019,157.27,+0.25,+0.16%,157.27,157.27,157.27,
12-Nov-2019,157.02,-1.94,-1.22%,157.02,157.02,157.02,
11-Nov-2019,158.96,-2.03,-1.26%,158.96,158.96,158.96,
08-Nov-2019,160.99,-4.58,-2.77%,160.99,160.99,160.99,
07-Nov-2019,165.57,+0.58,+0.35%,165.57,165.57,165.57,
06-Nov-2019,164.99,+2.26,+1.39%,164.99,164.99,164.99,
05-Nov-2019,162.73,-0.43,-0.26%,162.73,162.73,162.73,
04-Nov-2019,163.16,-1.19,-0.72%,163.16,163.16,163.16,
01-Nov-2019,164.35,+4.80,+3.01%,164.35,164.35,164.35,
31-Oct-2019,159.55,+4.32,+2.78%,159.55,159.55,159.55,
30-Oct-2019,155.23,+3.56,+2.35%,155.23,155.23,155.23,
29-Oct-2019,151.67,+3.59,+2.42%,151.67,151.67,151.67,
28-Oct-2019,148.08,-1.99,-1.33%,148.08,148.08,148.08,
25-Oct-2019,150.07,0.00,0.00%,150.07,150.07,150.07,
24-Oct-2019,150.07,+0.61,+0.41%,150.07,150.07,150.07,
23-Oct-2019,149.46,+0.14,+0.09%,149.46,149.46,149.46,
22-Oct-2019,149.32,+0.96,+0.65%,149.32,149.32,149.32,
18-Oct-2019,148.36,+0.08,+0.05%,148.36,148.36,148.36,
17-Oct-2019,148.28,+2.19,+1.50%,148.28,148.28,148.28,
16-Oct-2019,146.09,-0.04,-0.03%,146.09,146.09,146.09,
15-Oct-2019,146.13,-0.28,-0.19%,146.13,146.13,146.13,
14-Oct-2019,146.41,-1.23,-0.83%,146.41,146.41,146.41,
11-Oct-2019,147.64,+0.68,+0.46%,147.64,147.64,147.64,
09-Oct-2019,146.96,+0.32,+0.22%,146.96,146.96,146.96,
08-Oct-2019,146.64,+0.54,+0.37%,146.64,146.64,146.64,
07-Oct-2019,146.10,-1.13,-0.77%,146.10,146.10,146.10,
04-Oct-2019,147.23,-0.30,-0.20%,147.23,147.23,147.23,
03-Oct-2019,147.53,+1.27,+0.87%,147.53,147.53,147.53,
02-Oct-2019,146.26,+0.80,+0.55%,146.26,146.26,146.26,
30-Sep-2019,145.46,+1.19,+0.82%,145.46,145.46,145.46,
27-Sep-2019,144.27,-0.23,-0.16%,144.27,144.27,144.27,
26-Sep-2019,144.50,-1.20,-0.82%,144.50,144.50,144.50,
25-Sep-2019,145.70,-0.02,-0.01%,145.70,145.70,145.70,
24-Sep-2019,145.72,+0.42,+0.29%,145.72,145.72,145.72,
23-Sep-2019,145.30,+0.32,+0.22%,145.30,145.30,145.30,
20-Sep-2019,144.98,+0.76,+0.53%,144.98,144.98,144.98,
19-Sep-2019,144.22,-0.08,-0.06%,144.22,144.22,144.22,
18-Sep-2019,144.30,+0.42,+0.29%,144.30,144.30,144.30,
17-Sep-2019,143.88,-0.33,-0.23%,143.88,143.88,143.88,
16-Sep-2019,144.21,+0.40,+0.28%,144.21,144.21,144.21,
13-Sep-2019,143.81,-0.17,-0.12%,143.81,143.81,143.81,
12-Sep-2019,143.98,+0.51,+0.36%,143.98,143.98,143.98,
11-Sep-2019,143.47,+0.43,+0.30%,143.47,143.47,143.47,
10-Sep-2019,143.04,+0.23,+0.16%,143.04,143.04,143.04,
09-Sep-2019,142.81,+0.29,+0.20%,142.81,142.81,142.81,
06-Sep-2019,142.52,-0.94,-0.66%,142.52,142.52,142.52,
05-Sep-2019,143.46,+0.30,+0.21%,143.46,143.46,143.46,
04-Sep-2019,143.16,+0.97,+0.68%,143.16,143.16,143.16,
03-Sep-2019,142.19,-4.81,-3.27%,142.19,142.19,142.19,
02-Sep-2019,147.00,-0.58,-0.39%,147.00,147.00,147.00,
30-Aug-2019,147.58,-0.45,-0.30%,147.58,147.58,147.58,
29-Aug-2019,148.03,+0.51,+0.35%,148.03,148.03,148.03,
28-Aug-2019,147.52,-0.61,-0.41%,147.52,147.52,147.52,
27-Aug-2019,148.13,-0.06,-0.04%,148.13,148.13,148.13,
26-Aug-2019,148.19,-1.68,-1.12%,148.19,148.19,148.19,
23-Aug-2019,149.87,-0.42,-0.28%,149.87,149.87,149.87,
22-Aug-2019,150.29,-0.27,-0.18%,150.29,150.29,150.29,
21-Aug-2019,150.56,-0.58,-0.38%,150.56,150.56,150.56,
20-Aug-2019,151.14,-0.78,-0.51%,151.14,151.14,151.14,
19-Aug-2019,151.92,+0.52,+0.34%,151.92,151.92,151.92,
16-Aug-2019,151.40,+1.66,+1.11%,151.40,151.40,151.40,
15-Aug-2019,149.74,+1.12,+0.75%,149.74,149.74,149.74,
14-Aug-2019,148.62,+0.03,+0.02%,148.62,148.62,148.62,
13-Aug-2019,148.59,+0.54,+0.36%,148.59,148.59,148.59,
09-Aug-2019,148.05,+0.87,+0.59%,148.05,148.05,148.05,
08-Aug-2019,147.18,+0.44,+0.30%,147.18,147.18,147.18,
07-Aug-2019,146.74,-0.57,-0.39%,146.74,146.74,146.74,
06-Aug-2019,147.31,-0.79,-0.53%,147.31,147.31,147.31,
05-Aug-2019,148.10,-0.23,-0.16%,148.10,148.10,148.10,
02-Aug-2019,148.33,+0.03,+0.02%,148.33,148.33,148.33,
01-Aug-2019,148.30,+0.05,+0.03%,148.30,148.30,148.30,
31-Jul-2019,148.25,-0.19,-0.13%,148.25,148.25,148.25,
30-Jul-2019,148.44,-0.58,-0.39%,148.44,148.44,148.44,
29-Jul-2019,149.02,+0.02,+0.01%,149.02,149.02,149.02,
26-Jul-2019,149.00,+0.19,+0.13%,149.00,149.00,149.00,
25-Jul-2019,148.81,0.00,0.00%,148.81,148.81,148.81,
24-Jul-2019,148.81,+0.77,+0.52%,148.81,148.81,148.81,
23-Jul-2019,148.04,-1.88,-1.25%,148.04,148.04,148.04,
22-Jul-2019,149.92,+0.10,+0.07%,149.92,149.92,149.92,
19-Jul-2019,149.82,+0.57,+0.38%,149.82,149.82,149.82,
18-Jul-2019,149.25,-0.55,-0.37%,149.25,149.25,149.25,
17-Jul-2019,149.80,+0.66,+0.44%,149.80,149.80,149.80,
16-Jul-2019,149.14,+0.19,+0.13%,149.14,149.14,149.14,
15-Jul-2019,148.95,-0.78,-0.52%,148.95,148.95,148.95,
12-Jul-2019,149.73,+0.67,+0.45%,149.73,149.73,149.73,
11-Jul-2019,149.06,+0.20,+0.13%,149.06,149.06,149.06,
10-Jul-2019,148.86,+1.43,+0.97%,148.86,148.86,148.86,
09-Jul-2019,147.43,-1.45,-0.97%,147.43,147.43,147.43,
08-Jul-2019,148.88,-0.92,-0.61%,148.88,148.88,148.88,
05-Jul-2019,149.80,+0.71,+0.48%,149.80,149.80,149.80,
04-Jul-2019,149.09,-1.02,-0.68%,149.09,149.09,149.09,
03-Jul-2019,150.11,-0.02,-0.01%,150.11,150.11,150.11,
02-Jul-2019,150.13,+0.12,+0.08%,150.13,150.13,150.13,
01-Jul-2019,150.01,+0.40,+0.27%,150.01,150.01,150.01,
28-Jun-2019,149.61,+1.27,+0.86%,149.61,149.61,149.61,
27-Jun-2019,148.34,-0.04,-0.03%,148.34,148.34,148.34,
26-Jun-2019,148.38,-0.03,-0.02%,148.38,148.38,148.38,
25-Jun-2019,148.41,+0.72,+0.49%,148.41,148.41,148.41,
24-Jun-2019,147.69,+0.34,+0.23%,147.69,147.69,147.69,
21-Jun-2019,147.35,-0.23,-0.16%,147.35,147.35,147.35,
20-Jun-2019,147.58,+0.05,+0.03%,147.58,147.58,147.58,
19-Jun-2019,147.53,-0.97,-0.65%,147.53,147.53,147.53,
18-Jun-2019,148.50,+0.03,+0.02%,148.50,148.50,148.50,
17-Jun-2019,148.47,-1.65,-1.10%,148.47,148.47,148.47,
14-Jun-2019,150.12,-0.32,-0.21%,150.12,150.12,150.12,
13-Jun-2019,150.44,-0.02,-0.01%,150.44,150.44,150.44,
12-Jun-2019,150.46,+0.24,+0.16%,150.46,150.46,150.46,
11-Jun-2019,150.22,+0.18,+0.12%,150.22,150.22,150.22,
10-Jun-2019,150.04,-0.43,-0.29%,150.04,150.04,150.04,
07-Jun-2019,150.47,-0.75,-0.50%,150.47,150.47,150.47,
06-Jun-2019,151.22,+0.14,+0.09%,151.22,151.22,151.22,
04-Jun-2019,151.08,+0.62,+0.41%,151.08,151.08,151.08,
03-Jun-2019,150.46,+0.54,+0.36%,150.46,150.46,150.46,
31-May-2019,149.92,-0.14,-0.09%,149.92,149.92,149.92,
30-May-2019,150.06,-1.27,-0.84%,150.06,150.06,150.06,
29-May-2019,151.33,-0.44,-0.29%,151.33,151.33,151.33,
28-May-2019,151.77,+4.37,+2.96%,151.77,151.77,151.77,
27-May-2019,147.40,+0.94,+0.64%,147.40,147.40,147.40,
24-May-2019,146.46,+0.63,+0.43%,146.46,146.46,146.46,
23-May-2019,145.83,+0.14,+0.10%,145.83,145.83,145.83,
22-May-2019,145.69,-0.45,-0.31%,145.69,145.69,145.69,
21-May-2019,146.14,+0.96,+0.66%,146.14,146.14,146.14,
20-May-2019,145.18,-0.15,-0.10%,145.18,145.18,145.18,
17-May-2019,145.33,-0.56,-0.38%,145.33,145.33,145.33,
16-May-2019,145.89,-1.12,-0.76%,145.89,145.89,145.89,
15-May-2019,147.01,+0.37,+0.25%,147.01,147.01,147.01,
14-May-2019,146.64,-3.63,-2.42%,146.64,146.64,146.64,
13-May-2019,150.27,-3.02,-1.97%,150.27,150.27,150.27,
10-May-2019,153.29,-2.09,-1.35%,153.29,153.29,153.29,
09-May-2019,155.38,-0.99,-0.63%,155.38,155.38,155.38,
08-May-2019,156.37,-1.42,-0.90%,156.37,156.37,156.37,
07-May-2019,157.79,0.00,0.00%,157.79,157.79,157.79,
06-May-2019,157.79,-2.40,-1.50%,157.79,157.79,157.79,
03-May-2019,160.19,-0.81,-0.50%,160.19,160.19,160.19,
02-May-2019,161.00,+3.69,+2.35%,161.00,161.00,161.00,
30-Apr-2019,157.31,-0.46,-0.29%,157.31,157.31,157.31,
29-Apr-2019,157.77,-0.42,-0.27%,157.77,157.77,157.77,
26-Apr-2019,158.19,-0.54,-0.34%,158.19,158.19,158.19,
25-Apr-2019,158.73,-0.16,-0.10%,158.73,158.73,158.73,
24-Apr-2019,158.89,+0.24,+0.15%,158.89,158.89,158.89,
23-Apr-2019,158.65,+0.36,+0.23%,158.65,158.65,158.65,
18-Apr-2019,158.29,-0.49,-0.31%,158.29,158.29,158.29,
17-Apr-2019,158.78,+1.16,+0.74%,158.78,158.78,158.78,
16-Apr-2019,157.62,+0.29,+0.18%,157.62,157.62,157.62,
15-Apr-2019,157.33,-0.58,-0.37%,157.33,157.33,157.33,
12-Apr-2019,157.91,-0.38,-0.24%,157.91,157.91,157.91,
11-Apr-2019,158.29,+0.09,+0.06%,158.29,158.29,158.29,
10-Apr-2019,158.20,-0.19,-0.12%,158.20,158.20,158.20,
09-Apr-2019,158.39,-0.85,-0.53%,158.39,158.39,158.39,
08-Apr-2019,159.24,-0.28,-0.18%,159.24,159.24,159.24,
05-Apr-2019,159.52,-0.06,-0.04%,159.52,159.52,159.52,
04-Apr-2019,159.58,-0.50,-0.31%,159.58,159.58,159.58,
03-Apr-2019,160.08,+0.32,+0.20%,160.08,160.08,160.08,
02-Apr-2019,159.76,+0.75,+0.47%,159.76,159.76,159.76,
01-Apr-2019,159.01,+1.35,+0.86%,159.01,159.01,159.01,
29-Mar-2019,157.66,+1.81,+1.16%,157.66,157.66,157.66,
28-Mar-2019,155.85,-0.45,-0.29%,155.85,155.85,155.85,
27-Mar-2019,156.30,-1.07,-0.68%,156.30,156.30,156.30,
26-Mar-2019,157.37,-1.70,-1.07%,157.37,157.37,157.37,
25-Mar-2019,159.07,-0.93,-0.58%,159.07,159.07,159.07,
22-Mar-2019,160.00,-0.97,-0.60%,160.00,160.00,160.00,
21-Mar-2019,160.97,+0.71,+0.44%,160.97,160.97,160.97,
20-Mar-2019,160.26,+1.33,+0.84%,160.26,160.26,160.26,
19-Mar-2019,158.93,-1.22,-0.76%,158.93,158.93,158.93,
18-Mar-2019,160.15,+2.08,+1.32%,160.15,160.15,160.15,
15-Mar-2019,158.07,+2.63,+1.69%,158.07,158.07,158.07,
14-Mar-2019,155.44,+0.98,+0.63%,155.44,155.44,155.44,
13-Mar-2019,154.46,-0.69,-0.44%,154.46,154.46,154.46,
12-Mar-2019,155.15,-0.17,-0.11%,155.15,155.15,155.15,
11-Mar-2019,155.32,-0.79,-0.51%,155.32,155.32,155.32,
08-Mar-2019,156.11,+0.34,+0.22%,156.11,156.11,156.11,
07-Mar-2019,155.77,+1.17,+0.76%,155.77,155.77,155.77,
06-Mar-2019,154.60,+0.90,+0.59%,154.60,154.60,154.60,
05-Mar-2019,153.70,+0.02,+0.01%,153.70,153.70,153.70,
04-Mar-2019,153.68,+0.77,+0.50%,153.68,153.68,153.68,
01-Mar-2019,152.91,+0.35,+0.23%,152.91,152.91,152.91,
28-Feb-2019,152.56,-2.03,-1.31%,152.56,152.56,152.56,
27-Feb-2019,154.59,-0.64,-0.41%,154.59,154.59,154.59,
26-Feb-2019,155.23,+0.20,+0.13%,155.23,155.23,155.23,
25-Feb-2019,155.03,+0.67,+0.43%,155.03,155.03,155.03,
22-Feb-2019,154.36,-0.57,-0.37%,154.36,154.36,154.36,
21-Feb-2019,154.93,-0.61,-0.39%,154.93,154.93,154.93,
20-Feb-2019,155.54,-0.66,-0.42%,155.54,155.54,155.54,
19-Feb-2019,156.20,-0.43,-0.27%,156.20,156.20,156.20,
18-Feb-2019,156.63,-0.66,-0.42%,156.63,156.63,156.63,
15-Feb-2019,157.29,-1.56,-0.98%,157.29,157.29,157.29,
14-Feb-2019,158.85,-1.43,-0.89%,158.85,158.85,158.85,
13-Feb-2019,160.28,0.00,0.00%,160.28,160.28,160.28,
12-Feb-2019,160.28,-0.25,-0.16%,160.28,160.28,160.28,
11-Feb-2019,160.53,+0.09,+0.06%,160.53,160.53,160.53,
08-Feb-2019,160.44,0.00,0.00%,160.44,160.44,160.44,
07-Feb-2019,160.44,+0.18,+0.11%,160.44,160.44,160.44,
06-Feb-2019,160.26,+2.41,+1.53%,160.26,160.26,160.26,
05-Feb-2019,157.85,+2.36,+1.52%,157.85,157.85,157.85,
04-Feb-2019,155.49,+0.97,+0.63%,155.49,155.49,155.49,
01-Feb-2019,154.52,+4.18,+2.78%,154.52,154.52,154.52,
31-Jan-2019,150.34,+1.05,+0.70%,150.34,150.34,150.34,
30-Jan-2019,149.29,+0.99,+0.67%,149.29,149.29,149.29,
29-Jan-2019,148.30,+1.10,+0.75%,148.30,148.30,148.30,
28-Jan-2019,147.20,+0.72,+0.49%,147.20,147.20,147.20,
25-Jan-2019,146.48,+1.18,+0.81%,146.48,146.48,146.48,
24-Jan-2019,145.30,+0.06,+0.04%,145.30,145.30,145.30,
23-Jan-2019,145.24,0.00,0.00%,145.24,145.24,145.24,
22-Jan-2019,145.24,-0.40,-0.27%,145.24,145.24,145.24,
21-Jan-2019,145.64,+0.37,+0.25%,145.64,145.64,145.64,
18-Jan-2019,145.27,+0.26,+0.18%,145.27,145.27,145.27,
17-Jan-2019,145.01,+0.25,+0.17%,145.01,145.01,145.01,
16-Jan-2019,144.76,+1.23,+0.86%,144.76,144.76,144.76,
15-Jan-2019,143.53,+0.42,+0.29%,143.53,143.53,143.53,
14-Jan-2019,143.11,+0.50,+0.35%,143.11,143.11,143.11,
11-Jan-2019,142.61,+1.20,+0.85%,142.61,142.61,142.61,
10-Jan-2019,141.41,+2.10,+1.51%,141.41,141.41,141.41,
09-Jan-2019,139.31,+0.44,+0.32%,139.31,139.31,139.31,
08-Jan-2019,138.87,+1.52,+1.11%,138.87,138.87,138.87,
07-Jan-2019,137.35,+0.32,+0.23%,137.35,137.35,137.35,
04-Jan-2019,137.03,-2.68,-1.92%,137.03,137.03,137.03,
03-Jan-2019,139.71,-0.49,-0.35%,139.71,139.71,139.71,
02-Jan-2019,140.20,-0.23,-0.16%,140.20,140.20,140.20,
31-Dec-2018,140.43,-1.57,-1.11%,140.43,140.43,140.43,
28-Dec-2018,142.00,+1.17,+0.83%,142.00,142.00,142.00,
27-Dec-2018,140.83,-0.04,-0.03%,140.83,140.83,140.83,
24-Dec-2018,140.87,+1.92,+1.38%,140.87,140.87,140.87,
21-Dec-2018,138.95,-0.87,-0.62%,138.95,138.95,138.95,
20-Dec-2018,139.82,-1.13,-0.80%,139.82,139.82,139.82,
19-Dec-2018,140.95,-1.12,-0.79%,140.95,140.95,140.95,
18-Dec-2018,142.07,-0.19,-0.13%,142.07,142.07,142.07,
17-Dec-2018,142.26,-0.27,-0.19%,142.26,142.26,142.26,
14-Dec-2018,142.53,+1.63,+1.16%,142.53,142.53,142.53,
13-Dec-2018,140.90,+0.02,+0.01%,140.90,140.90,140.90,
11-Dec-2018,140.88,-1.64,-1.15%,140.88,140.88,140.88,
10-Dec-2018,142.52,-1.53,-1.06%,142.52,142.52,142.52,
07-Dec-2018,144.05,-1.60,-1.10%,144.05,144.05,144.05,
06-Dec-2018,145.65,-0.81,-0.55%,145.65,145.65,145.65,
05-Dec-2018,146.46,-0.03,-0.02%,146.46,146.46,146.46,
04-Dec-2018,146.49,-0.03,-0.02%,146.49,146.49,146.49,
03-Dec-2018,146.52,+0.44,+0.30%,146.52,146.52,146.52,
30-Nov-2018,146.08,+0.76,+0.52%,146.08,146.08,146.08,
29-Nov-2018,145.32,+0.02,+0.01%,145.32,145.32,145.32,
28-Nov-2018,145.30,+0.58,+0.40%,145.30,145.30,145.30,
27-Nov-2018,144.72,+0.29,+0.20%,144.72,144.72,144.72,
26-Nov-2018,144.43,+0.30,+0.21%,144.43,144.43,144.43,
23-Nov-2018,144.13,-0.07,-0.05%,144.13,144.13,144.13,
22-Nov-2018,144.20,+0.17,+0.12%,144.20,144.20,144.20,
21-Nov-2018,144.03,-0.14,-0.10%,144.03,144.03,144.03,
20-Nov-2018,144.17,+0.22,+0.15%,144.17,144.17,144.17,
19-Nov-2018,143.95,-0.95,-0.66%,143.95,143.95,143.95,
16-Nov-2018,144.90,-0.02,-0.01%,144.90,144.90,144.90,
15-Nov-2018,144.92,-0.98,-0.67%,144.92,144.92,144.92,
14-Nov-2018,145.90,-0.88,-0.60%,145.90,145.90,145.90,
13-Nov-2018,146.78,-0.34,-0.23%,146.78,146.78,146.78,
12-Nov-2018,147.12,+0.11,+0.07%,147.12,147.12,147.12,
09-Nov-2018,147.01,+2.87,+1.99%,147.01,147.01,147.01,
08-Nov-2018,144.14,+1.20,+0.84%,144.14,144.14,144.14,
07-Nov-2018,142.94,-0.01,-0.01%,142.94,142.94,142.94,
06-Nov-2018,142.95,-3.28,-2.24%,142.95,142.95,142.95,
05-Nov-2018,146.23,-1.66,-1.12%,146.23,146.23,146.23,
02-Nov-2018,147.89,+2.79,+1.92%,147.89,147.89,147.89,
01-Nov-2018,145.10,+0.75,+0.52%,145.10,145.10,145.10,
31-Oct-2018,144.35,-0.86,-0.59%,144.35,144.35,144.35,
30-Oct-2018,145.21,-0.36,-0.25%,145.21,145.21,145.21,
29-Oct-2018,145.57,-0.32,-0.22%,145.57,145.57,145.57,
26-Oct-2018,145.89,+0.12,+0.08%,145.89,145.89,145.89,
25-Oct-2018,145.77,+0.48,+0.33%,145.77,145.77,145.77,
24-Oct-2018,145.29,-0.35,-0.24%,145.29,145.29,145.29,
23-Oct-2018,145.64,-0.57,-0.39%,145.64,145.64,145.64,
22-Oct-2018,146.21,-0.12,-0.08%,146.21,146.21,146.21,
19-Oct-2018,146.33,+1.60,+1.11%,146.33,146.33,146.33,
18-Oct-2018,144.73,+0.03,+0.02%,144.73,144.73,144.73,
17-Oct-2018,144.70,+0.38,+0.26%,144.70,144.70,144.70,
16-Oct-2018,144.32,+2.54,+1.79%,144.32,144.32,144.32,
15-Oct-2018,141.78,-2.48,-1.72%,141.78,141.78,141.78,
12-Oct-2018,144.26,-3.37,-2.28%,144.26,144.26,144.26,
11-Oct-2018,147.63,-2.00,-1.34%,147.63,147.63,147.63,
09-Oct-2018,149.63,-0.29,-0.19%,149.63,149.63,149.63,
08-Oct-2018,149.92,-0.96,-0.64%,149.92,149.92,149.92,
05-Oct-2018,150.88,+0.36,+0.24%,150.88,150.88,150.88,
04-Oct-2018,150.52,+1.12,+0.75%,150.52,150.52,150.52,
03-Oct-2018,149.40,+0.16,+0.11%,149.40,149.40,149.40,
02-Oct-2018,149.24,+0.26,+0.17%,149.24,149.24,149.24,
01-Oct-2018,148.98,-0.69,-0.46%,148.98,148.98,148.98,
28-Sep-2018,149.67,-0.93,-0.62%,149.67,149.67,149.67,
27-Sep-2018,150.60,+0.50,+0.33%,150.60,150.60,150.60,
26-Sep-2018,150.10,+1.05,+0.70%,150.10,150.10,150.10,
25-Sep-2018,149.05,-0.30,-0.20%,149.05,149.05,149.05,
24-Sep-2018,149.35,+3.86,+2.65%,149.35,149.35,149.35,
21-Sep-2018,145.49,-3.03,-2.04%,145.49,145.49,145.49,
20-Sep-2018,148.52,-7.34,-4.71%,148.52,148.52,148.52,
19-Sep-2018,155.86,-1.89,-1.20%,155.86,155.86,155.86,
18-Sep-2018,157.75,+0.18,+0.11%,157.75,157.75,157.75,
17-Sep-2018,157.57,-0.56,-0.35%,157.57,157.57,157.57,
14-Sep-2018,158.13,+0.69,+0.44%,158.13,158.13,158.13,
13-Sep-2018,157.44,-2.51,-1.57%,157.44,157.44,157.44,
12-Sep-2018,159.95,-0.85,-0.53%,159.95,159.95,159.95,
11-Sep-2018,160.80,-1.69,-1.04%,160.80,160.80,160.80,
10-Sep-2018,162.49,-1.22,-0.75%,162.49,162.49,162.49,
07-Sep-2018,163.71,-1.44,-0.87%,163.71,163.71,163.71,
06-Sep-2018,165.15,-0.48,-0.29%,165.15,165.15,165.15,
05-Sep-2018,165.63,-1.71,-1.02%,165.63,165.63,165.63,
04-Sep-2018,167.34,+1.42,+0.86%,167.34,167.34,167.34,
03-Sep-2018,165.92,-1.67,-1.00%,165.92,165.92,165.92,
31-Aug-2018,167.59,-4.70,-2.73%,167.59,167.59,167.59,
30-Aug-2018,172.29,-0.82,-0.47%,172.29,172.29,172.29,
