Days,Date,Close,Net,%Chg,Open,Low,High
578,8/5/2013,123.29,-0.01,-0.01%,123.29,123.29,123.29
579,8/6/2013,123.35,0.06,0.05%,123.35,123.35,123.35
580,8/7/2013,123.55,0.2,0.16%,123.55,123.55,123.55
581,8/8/2013,124.67,1.12,0.91%,124.67,124.67,124.67
582,8/12/2013,125.39,0.72,0.58%,125.39,125.39,125.39
583,8/13/2013,124.82,-0.57,-0.45%,124.82,124.82,124.82
584,8/15/2013,125.77,0.95,0.76%,125.77,125.77,125.77
585,8/16/2013,125.95,0.18,0.14%,125.95,125.95,125.95
586,8/19/2013,126.21,0.26,0.21%,126.21,126.21,126.21
587,8/20/2013,125.82,-0.39,-0.31%,125.82,125.82,125.82
588,8/21/2013,124.91,-0.91,-0.72%,124.91,124.91,124.91
589,8/22/2013,124.36,-0.55,-0.44%,124.36,124.36,124.36
590,8/23/2013,124.47,0.11,0.09%,124.47,124.47,124.47
591,8/26/2013,124.36,-0.11,-0.09%,124.36,124.36,124.36
592,8/27/2013,122.85,-1.51,-1.21%,122.85,122.85,122.85
593,8/28/2013,121.24,-1.61,-1.31%,121.24,121.24,121.24
594,8/29/2013,120.39,-0.85,-0.70%,120.39,120.39,120.39
595,8/30/2013,119.96,-0.43,-0.36%,119.96,119.96,119.96
596,9/2/2013,119.47,-0.49,-0.41%,119.47,119.47,119.47
597,9/3/2013,119.86,0.39,0.33%,119.86,119.86,119.86
598,9/4/2013,120.69,0.83,0.69%,120.69,120.69,120.69
599,9/5/2013,121.82,1.13,0.94%,121.82,121.82,121.82
600,9/6/2013,122.3,0.48,0.39%,122.3,122.3,122.3
601,9/9/2013,122.76,0.46,0.38%,122.76,122.76,122.76
602,9/10/2013,123.12,0.36,0.29%,123.12,123.12,123.12
603,9/11/2013,122.92,-0.2,-0.16%,122.92,122.92,122.92
604,9/12/2013,122.88,-0.04,-0.03%,122.88,122.88,122.88
605,9/13/2013,122.86,-0.02,-0.02%,122.86,122.86,122.86
606,9/16/2013,122.38,-0.48,-0.39%,122.38,122.38,122.38
607,9/17/2013,122.81,0.43,0.35%,122.81,122.81,122.81
608,9/18/2013,123.11,0.3,0.24%,123.11,123.11,123.11
609,9/19/2013,123.8,0.69,0.56%,123.8,123.8,123.8
610,9/20/2013,124.66,0.86,0.69%,124.66,124.66,124.66
611,9/23/2013,124.26,-0.4,-0.32%,124.26,124.26,124.26
612,9/24/2013,124.21,-0.05,-0.04%,124.21,124.21,124.21
613,9/25/2013,124.92,0.71,0.57%,124.92,124.92,124.92
614,9/26/2013,125.5,0.58,0.46%,125.5,125.5,125.5
615,9/27/2013,126.05,0.55,0.44%,126.05,126.05,126.05
616,9/30/2013,127.35,1.3,1.03%,127.35,127.35,127.35
617,10/2/2013,128.59,1.24,0.97%,128.59,128.59,128.59
618,10/3/2013,129.2,0.61,0.47%,129.2,129.2,129.2
619,10/7/2013,131.36,2.16,1.67%,131.36,131.36,131.36
620,10/8/2013,133.6,2.24,1.71%,133.6,133.6,133.6
621,10/9/2013,132.82,-0.78,-0.58%,132.82,132.82,132.82
622,10/10/2013,132.08,-0.74,-0.56%,132.08,132.08,132.08
623,10/11/2013,131.87,-0.21,-0.16%,131.87,131.87,131.87
624,10/14/2013,131.31,-0.56,-0.42%,131.31,131.31,131.31
